model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff,conflict_exist,conflict_detect
,,1,1,100,0,0,0.7344310283660889,0,0,1,0,0.0,322,13,0.000509,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'istanbul': ['100.0.4.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",True,False
,,1,1,100,0,1,0.8771920204162598,0,0,1,0,0.0,302,13,0.000479,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'milan': ['100.0.1.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,2,0,0,0,0,0,0,316,30,0.0005340000000000001,"{'status': 'ERROR', 'reason': 'Conflicting reachability requirements for sofia and 100.0.18.0/24'}",True,True
,,1,1,100,0,3,0.9099180698394775,0,0,1,0,0.0,302,13,0.000479,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'paris': ['100.0.24.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,4,0,0,0,0,0,0,320,31,0.0005420000000000001,"{'status': 'ERROR', 'reason': 'Conflicting requirements for reachability from marseille to 100.0.0.0/24'}",True,True
,,1,1,100,0,5,0.47927069664001465,0,0,1,0,0.0,301,13,0.00047749999999999995,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'kiev': ['100.0.22.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,6,0,0,0,0,0,0,318,46,0.000569,"{'status': 'ERROR', 'reason': 'Conflict: Milan cannot reach 100.0.10.0/24 but traffic originating from Milan can reach the subnet 100.0.10.0/24.'}",True,True
,,1,1,100,0,7,0.6136231422424316,0,0,1,0,0.0,300,13,0.00047599999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'london': ['100.0.1.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,8,0,0,0,0,0,0,318,49,0.000575,"{'status': 'ERROR', 'reason': 'Conflict: Marseille is not allowed to reach 100.0.1.0/24, but the connectivity from Marseille to 100.0.1.0/24 is established.'}",True,True
,,1,1,100,0,9,0.6127099990844727,0,0,1,0,0.0,303,13,0.00048049999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'athens': ['100.0.25.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,10,0,0,0,0,0,0,313,33,0.0005355000000000001,"{'status': 'ERROR', 'reason': 'Conflicting requirements for reachability of location Paris to prefix 100.0.18.0/24.'}",True,True
,,1,1,100,0,11,1.0240747928619385,0,0,1,0,0.0,303,13,0.00048049999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'warsaw': ['100.0.9.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,12,0,0,0,0,0,0,318,49,0.000575,"{'status': 'ERROR', 'reason': 'Conflict: Frankfurt cannot reach 100.0.13.0/24 but traffic originating from Frankfurt must be able to reach the subnet 100.0.13.0/24.'}",True,True
,,1,1,100,0,13,0.9206759929656982,0,0,1,0,0.0,299,13,0.0004745,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'lyon': ['100.0.13.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,14,0,0,0,0,0,0,315,31,0.0005345,"{'status': 'ERROR', 'reason': 'Conflicting requirements for reachability of 100.0.14.0/24 from Athens.'}",True,True
,,1,1,100,0,15,0.6141948699951172,0,0,1,0,0.0,302,13,0.000479,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'frankfurt': ['100.0.31.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,16,0,0,0,0,0,0,317,31,0.0005375,"{'status': 'ERROR', 'reason': 'Conflict in reachability requirements for istanbul to 100.0.8.0/24'}",True,True
,,1,1,100,0,17,0.6147208213806152,0,0,1,0,0.0,303,13,0.00048049999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'luxembourg': ['100.0.14.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,18,0,0,0,0,0,0,318,50,0.000577,"{'status': 'ERROR', 'reason': 'The requirements are conflicting as sofia cannot reach 100.0.4.0/24, but the subnet 100.0.4.0/24 is reachable from sofia.'}",True,True
,,1,1,100,0,19,0.8187351226806641,0,0,1,0,0.0,300,13,0.00047599999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'frankfurt': ['100.0.1.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,20,0,0,0,0,0,0,316,40,0.000554,"{'status': 'ERROR', 'reason': 'Reachability conflict: Paris is not allowed to reach 100.0.9.0/24 but connectivity to the same prefix is established.'}",True,True
,,1,1,100,0,21,0.5261509418487549,0,0,1,0,0.0,302,13,0.000479,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'bucharest': ['100.0.31.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,22,0,0,0,0,0,0,313,30,0.0005295,"{'status': 'ERROR', 'reason': 'Conflicting reachability requirements for amsterdam and prefix 100.0.27.0/24'}",True,True
,,1,1,100,0,23,0.7160162925720215,0,0,1,0,0.0,300,13,0.00047599999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'brussels': ['100.0.31.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,24,0,0,0,0,0,0,313,44,0.0005575,"{'status': 'ERROR', 'reason': 'Conflict: rotterdam cannot reach 100.0.24.0/24 and rotterdam can reach 100.0.24.0/24 are conflicting requirements.'}",True,True
,,1,1,100,0,25,0.5635361671447754,0,0,1,0,0.0,303,13,0.00048049999999999997,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'praha': ['100.0.22.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
