model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff,conflict_exist,conflict_detect
,,1,1,100,0,0,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflict between reachability and waypoint rules'}",True,True
,,1,1,100,0,1,0.8632020950317383,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'milan': ['100.0.1.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,2,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflict in reachability requirement for sofia and prefix 100.0.18.0/24: cannot reach vs reachable'}",True,True
,,1,1,100,0,3,0.852409839630127,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'paris': ['100.0.24.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,4,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflicting reachability requirements for location marseille'}",True,True
,,1,1,100,0,5,0.8563868999481201,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'kiev': ['100.0.22.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,6,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflicting Reachability Requirements'}",True,True
,,1,1,100,0,7,1.1109631061553955,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'london': ['100.0.1.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,8,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': ""Conflict in reachability requirement: Reachability from 'marseille' to '100.0.1.0/24' allowed, but previously forbidden""}",True,True
,,1,1,100,0,9,0.9189808368682861,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'athens': ['100.0.25.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,10,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflict in reachability requirement: Paris cannot and can reach the same prefix (100.0.18.0/24)'}",True,True
,,1,1,100,0,11,0.897925853729248,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'warsaw': ['100.0.9.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,12,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflicting Reachability Requirements: Frankfurt cannot and can reach the same destination (100.0.13.0/24)'}",True,True
,,1,1,100,0,13,0.9020168781280518,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'lyon': ['100.0.13.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,14,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflict in Reachability requirement for Athens'}",True,True
,,1,1,100,0,15,0.953657865524292,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'frankfurt': ['100.0.31.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,16,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': ""Conflicting reachability rules for location 'istanbul' and prefix '100.0.8.0/24'. The rule allows reachability, but another rule forbids it.""}",True,True
,,1,1,100,0,17,0.9089033603668213,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'luxembourg': ['100.0.14.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,18,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': ""Conflict between Reachability and Waypoint rules for location 'sofia' and prefix '100.0.4.0/24'""}",True,True
,,1,1,100,0,19,0.8568210601806641,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'frankfurt': ['100.0.1.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,20,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': ""Conflicting reachability requirement for location 'paris' and prefix '100.0.9.0/24'. Reachability is initially forbidden, but later allowed.""}",True,True
,,1,1,100,0,21,0.8776602745056152,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'bucharest': ['100.0.31.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,22,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflicting reachability requirements for Amsterdam, which cannot and can reach 100.0.27.0/24'}",True,True
,,1,1,100,0,23,0.8568181991577148,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'brussels': ['100.0.31.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,24,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': ""Conflicting reachability requirements for location 'rotterdam' and prefix '100.0.24.0/24'. One requirement allows reachability, while the other disallows it.""}",True,True
,,1,1,100,0,25,0.870481014251709,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'praha': ['100.0.22.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,26,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'reachability requirement conflict between roma and 100.0.32.0/24'}",True,True
,,1,1,100,0,27,0.8676352500915527,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'sofia': ['100.0.10.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,28,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'reachability requirement conflict: not allowing reachability from lyon to 100.0.8.0/24, but also requiring the subnet to be reachable from lyon'}",True,True
,,1,1,100,0,29,0.9321739673614502,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'zurich': ['100.0.9.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,30,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Reachability requirement conflicts with itself'}",True,True
,,1,1,100,0,31,0.866858959197998,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'kiev': ['100.0.24.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,32,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Reachability requirement conflict: Geneva cannot reach 100.0.18.0/24, but 100.0.18.0/24 is accessible from Geneva'}",True,True
,,1,1,100,0,33,0.8802742958068848,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'warsaw': ['100.0.20.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,34,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflicting Reachability Requirements: Paris can and cannot reach 100.0.32.0/24'}",True,True
,,1,1,100,0,35,0.9261758327484131,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'london': ['100.0.25.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,36,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Conflicting reachability requirements for Brussels: cannot reach and can reach 100.0.18.0/24'}",True,True
,,1,1,100,0,37,0.8591890335083008,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'vienna': ['100.0.13.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,38,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Reachability conflict: amsterdam can and cannot reach 100.0.5.0/24'}",True,True
,,1,1,100,0,39,0.8602159023284912,0,0,1,0,0.0,0,0,0,"{'type_changes': {'root': {'old_type': <class 'dict'>, 'new_type': <class 'str'>, 'old_value': {'reachability': {'milan': ['100.0.20.0/24']}, 'waypoint': {}, 'loadbalancing': {}}, 'new_value': 'no conflict'}}}",False,False
,,1,1,100,0,40,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'reason': 'Reachability requirement conflict: Brussels cannot reach 100.0.29.0/24, but the subnet is already reachable'}",True,True
