model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,3,300,0,0,2.473602056503296,3,3,0,0,1.0,839,77,0.0014125000000000001,{}
,,1,3,300,0,1,2.1126279830932617,3,3,0,0,1.0,836,77,0.001408,{}
,,1,3,300,0,2,1.5341379642486572,3,2,1,1,0.6666666666666666,837,76,0.0014075,"{'dictionary_item_added': [""root['waypoint']['loadbalancing']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,3,300,0,3,1.3304460048675537,3,2,1,1,0.6666666666666666,833,79,0.0014075,"{'dictionary_item_added': [""root['waypoint']['loadbalancing']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,3,300,0,4,1.5350892543792725,3,2,1,1,0.6666666666666666,835,79,0.0014104999999999999,"{'dictionary_item_added': [""root['waypoint']['loadbalancing']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,3,300,0,5,4.605538845062256,5,3,0,2,1.0,1686,183,0.002895,"{'dictionary_item_added': [""root['reachability']['kiev']"", ""root['waypoint']['(kiev,100.0.1.0/24)']""]}"
,,1,3,300,0,6,1.7412889003753662,3,2,1,1,0.6666666666666666,836,76,0.001406,"{'dictionary_item_added': [""root['waypoint']['loadbalancing']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,3,300,0,7,1.4298968315124512,3,3,0,0,1.0,839,89,0.0014365,{}
,,1,3,300,0,8,2.558248281478882,4,3,0,1,1.0,1668,171,0.002844,"{'dictionary_item_added': [""root['reachability']['london']""]}"
,,1,3,300,0,9,1.5911941528320312,3,2,1,1,0.6666666666666666,836,76,0.001406,"{'dictionary_item_added': [""root['waypoint']['loadbalancing']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,3,300,0,10,1.1704940795898438,4,3,0,1,1.0,834,91,0.001433,"{'dictionary_item_added': [""root['reachability']['london']""]}"
