model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,1,100,0,0,0.9846329689025879,1,1,0,0,1.0,501,29,0.0008095,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,1,0.8054420948028564,1,1,0,0,1.0,498,29,0.000805,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,2,0.9203908443450928,1,1,0,0,1.0,502,30,0.000813,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,3,2.3950369358062744,1,1,0,0,1.0,503,29,0.0008125000000000001,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,4,0.9809479713439941,1,1,0,0,1.0,502,29,0.000811,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,5,0.7078700065612793,1,1,0,0,1.0,502,29,0.000811,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,6,0.8250687122344971,1,1,0,0,1.0,499,29,0.0008065,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,7,0.7461261749267578,1,1,0,0,1.0,503,29,0.0008125000000000001,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,8,0.7246730327606201,1,1,0,0,1.0,500,29,0.000808,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,9,0.7804770469665527,1,1,0,0,1.0,502,29,0.000811,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,10,0.9572618007659912,1,1,0,0,1.0,498,29,0.000805,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,11,0.881328821182251,1,1,0,0,1.0,504,30,0.0008160000000000001,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,12,0.8175868988037109,1,1,0,0,1.0,503,30,0.0008145000000000001,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,13,1.3474490642547607,1,1,0,0,1.0,499,29,0.0008065,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,14,1.1082758903503418,1,1,0,0,1.0,504,29,0.000814,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
