model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,2,200,0,0,1.751366138458252,3,2,0,1,1.0,667,68,0.0011365000000000001,"{'dictionary_item_added': [""root['reachability']['basel']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,1,1.318655252456665,3,2,0,1,1.0,669,68,0.0011395,"{'dictionary_item_added': [""root['reachability']['kiev']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,2,1.715825080871582,3,2,0,1,1.0,665,66,0.0011295,"{'dictionary_item_added': [""root['reachability']['rotterdam']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,3,1.55938720703125,2,2,0,0,1.0,670,67,0.001139,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,4,1.5347871780395508,3,2,0,1,1.0,667,68,0.0011365000000000001,"{'dictionary_item_added': [""root['reachability']['rotterdam']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,5,1.6164462566375732,3,2,0,1,1.0,672,69,0.001146,"{'dictionary_item_added': [""root['reachability']['kiev']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,6,1.349604845046997,2,2,0,0,1.0,669,53,0.0011095,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,7,1.6380689144134521,3,2,0,1,1.0,666,68,0.0011350000000000002,"{'dictionary_item_added': [""root['reachability']['basel']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,8,1.1249909400939941,3,2,0,1,1.0,667,68,0.0011365000000000001,"{'dictionary_item_added': [""root['reachability']['london']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,9,1.227630853652954,3,2,0,1,1.0,669,68,0.0011395,"{'dictionary_item_added': [""root['reachability']['basel']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,10,1.5349462032318115,3,2,0,1,1.0,670,68,0.001141,"{'dictionary_item_added': [""root['reachability']['kiev']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,11,1.2034938335418701,3,2,0,1,1.0,673,68,0.0011455,"{'dictionary_item_added': [""root['reachability']['basel']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,12,1.1495239734649658,3,2,0,1,1.0,669,68,0.0011395,"{'dictionary_item_added': [""root['reachability']['rotterdam']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,13,1.6495270729064941,3,2,0,1,1.0,670,70,0.001145,"{'dictionary_item_added': [""root['reachability']['kiev']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
