model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,3,300,0,0,20.60178780555725,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,1,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,2,12.057176113128662,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,3,12.517149925231934,3,3,0,0,1.0,0,0,0,"{'dictionary_item_added': [""root['reachability']['london']""]}"
,,1,3,300,0,4,8.183409929275513,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,5,8.090171813964844,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,6,4.346361875534058,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,7,8.19286298751831,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,8,38.27520680427551,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,9,39.11007809638977,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,10,28.181814908981323,3,3,0,0,1.0,0,0,0,"{'dictionary_item_added': [""root['reachability']['london']""]}"
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,11,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,12,11.767733097076416,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,13,11.364734888076782,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,14,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,15,20.0969717502594,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,16,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,17,20.538433074951172,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,18,19.91037082672119,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,19,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,20,8.709559202194214,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,21,4.344753980636597,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,22,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,23,13.449022054672241,3,3,0,0,1.0,0,0,0,"{'dictionary_item_added': [""root['reachability']['london']""]}"
,,1,3,300,0,24,34.07058382034302,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,25,9.111608743667603,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,26,24.702421188354492,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,27,39.86052894592285,3,3,0,0,1.0,0,0,0,"{'dictionary_item_added': [""root['reachability']['london']""]}"
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,28,0,0,0,0,0,0,0,0,0,
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,29,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,30,9.40435004234314,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,31,36.289923906326294,3,3,0,0,1.0,0,0,0,{}
