model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,1,100,0,0,4.985239028930664,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,1,1.5817649364471436,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,2,1.6173560619354248,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,3,1.5748188495635986,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,4,1.5738160610198975,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,5,1.5753810405731201,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,6,1.5766537189483643,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,7,1.5781340599060059,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,8,1.5801458358764648,1,0,1,1,0.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""], 'values_changed': {""root['reachability']"": {'new_value': {'Marseille': ['100.0.1.0/24']}, 'old_value': {'marseille': ['100.0.1.0/24']}}}}"
,,1,1,100,0,9,1.5780720710754395,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,10,1.5852868556976318,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
,,1,1,100,0,11,1.6250989437103271,1,1,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['waypoint']"", ""root['loadbalancing']""]}"
