model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,2,200,0,0,10.692057847976685,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,1,3.8624088764190674,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'barcelona,100.0.1.0/24': ['kiev']}, 'old_value': {'(barcelona,100.0.1.0/24)': ['kiev']}}}}"
,,1,2,200,0,2,3.83528208732605,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,3,3.7955479621887207,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,4,12.28651213645935,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,5,3.8987200260162354,2,0,2,2,0.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['reachability']"": {'new_value': {'Vienna': ['100.0.1.0/24']}, 'old_value': {'vienna': ['100.0.1.0/24']}}, ""root['waypoint']"": {'new_value': {'(Vienna,100.0.1.0/24)': ['Kiev']}, 'old_value': {'(vienna,100.0.1.0/24)': ['kiev']}}}}"
,,1,2,200,0,6,3.1837849617004395,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,7,3.9457907676696777,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,8,6.666753053665161,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'paris,100.0.29.0/24': ['london']}, 'old_value': {'(paris,100.0.29.0/24)': ['london']}}}}"
,,1,2,200,0,9,3.8692688941955566,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,10,6.819760084152222,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,11,3.2470180988311768,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,12,9.718056917190552,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,13,3.9099600315093994,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,14,3.908306121826172,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,15,1.9318227767944336,1,1,1,0,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']"", ""root['waypoint']['(roma,100.0.4.0/24)']""]}"
,,1,2,200,0,16,3.861011028289795,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,17,3.905684232711792,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,18,3.9878149032592773,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,19,2.1968767642974854,1,1,1,0,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']"", ""root['waypoint']['(luxembourg,100.0.4.0/24)']""]}"
,,1,2,200,0,20,3.900516986846924,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,21,2.148638963699341,1,1,1,0,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']"", ""root['waypoint']['(strasbourg,100.0.4.0/24)']""]}"
,,1,2,200,0,22,3.8839659690856934,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,23,3.219087839126587,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,24,4.0235230922698975,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,25,3.7943060398101807,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,26,4.82502293586731,3,2,0,1,1.0,0,0,0,"{'dictionary_item_added': [""root['reachability']['kiev']""], 'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,27,8.831269025802612,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,28,3.9394729137420654,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,29,2.1415061950683594,1,1,1,0,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']"", ""root['waypoint']['(warsaw,100.0.4.0/24)']""]}"
,,1,2,200,0,30,3.9264891147613525,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,31,4.0249669551849365,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,32,3.9284799098968506,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,33,3.1668951511383057,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,34,3.8791019916534424,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,35,3.7994308471679688,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,36,3.9262208938598633,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,37,15.743427991867065,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'(""basel"",""100.0.9.0/24"")': ['rotterdam']}, 'old_value': {'(basel,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,38,7.395785093307495,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,39,3.2195611000061035,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,40,9.316670894622803,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,41,4.036866903305054,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,42,3.9535131454467773,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,43,3.9962708950042725,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,44,3.9607789516448975,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,45,3.8925487995147705,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,46,3.8612170219421387,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'amsterdam,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(amsterdam,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,47,6.601217985153198,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,48,7.52576208114624,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'strasbourg,100.0.1.0/24': ['kiev']}, 'old_value': {'(strasbourg,100.0.1.0/24)': ['kiev']}}}}"
,,1,2,200,0,49,3.963190793991089,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'warsaw,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(warsaw,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,50,3.8660991191864014,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'athens,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(athens,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,51,3.1446259021759033,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,52,4.003972053527832,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,53,3.869781732559204,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'paris,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(paris,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,54,4.015231132507324,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,55,4.011967897415161,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,56,4.120768070220947,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,57,4.076784133911133,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,58,3.8879899978637695,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'madrid,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(madrid,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,59,4.119488000869751,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,60,3.319689989089966,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,61,6.705116271972656,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,62,4.082434892654419,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,63,3.253009796142578,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,64,4.036042928695679,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,65,6.340027809143066,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,66,7.8826820850372314,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,67,4.004248857498169,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'barcelona,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(barcelona,100.0.9.0/24)': ['rotterdam']}}}}"
,,1,2,200,0,68,4.005914211273193,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,69,6.801390171051025,2,2,0,0,1.0,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}"
,,1,2,200,0,70,4.02200984954834,2,1,1,1,0.5,0,0,0,"{'dictionary_item_removed': [""root['loadbalancing']""], 'values_changed': {""root['waypoint']"": {'new_value': {'strasbourg,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(strasbourg,100.0.9.0/24)': ['rotterdam']}}}}"
